 NS,EW,UD
-0.006,-0.002,0.023
0.012,-0.019,-0.001
0.03,0.008,-0.001
0.013,0.013,-0.028
0.028,-0.011,-0.005
0.013,-0.004,0.005
0.022,-0.008,-0.006
0.007,-0.005,-0.037
0.006,-0.004,0.021
-0.006,-0.011,0.008
0.024,-0.001,-0.007
-0.008,-0.002,-0.028
0.002,0.009,0.004
0.018,0.005,-0.019
-0.004,-0.011,0.004
0,-0.01,0.003
0.007,-0.011,0.005
-0.002,0.006,-0.019
-0.005,0.016,0.003
-0.002,0.018,0.008
0.008,-0.015,0.011
-0.006,-0.001,-0.015
0.002,-0.008,-0.009
0.016,-0.004,0.005
-0.01,-0.015,0.006
0.015,-0.002,-0.015
-0.005,0.007,-0.001
-0.004,0,0.007
-0.001,-0.001,-0.008
0.026,0.005,0.003
-0.014,0.007,-0.015
0.013,0,0.006
0.005,-0.005,-0.007
0.001,-0.012,-0.021
-0.007,-0.007,0.018
0.017,0.001,0.021
0.001,-0.011,0.022
0.013,-0.003,0.001
0.004,-0.006,0.018
-0.01,0.024,0.016
0.007,-0.036,-0.017
0.003,0.027,0
-0.013,0.018,0.013
0.012,0.012,-0.002
-0.002,0.004,0.011
-0.008,0.001,-0.012
-0.002,-0.017,-0.002
0.007,-0.023,-0.01
-0.015,0.002,-0.014
-0.021,0.009,0
0.003,0.017,0.027
0.002,-0.006,0.014
-0.004,0.008,0.012
-0.013,-0.011,0.017
0.021,-0.013,0
-0.014,0.008,0.01
-0.017,0.003,0.018
0.009,0.004,0.017
-0.017,-0.004,0.007
-0.008,-0.017,-0.007
0.012,0.004,0.004
0.016,-0.004,0.008
-0.006,-0.025,0.017
-0.001,0.009,0.01
0.005,0.003,0.002
0.007,0.022,-0.028
0.007,-0.005,0.023
0.019,-0.028,-0.01
-0.019,-0.012,0.032
-0.002,-0.004,0.004
-0.014,-0.002,0.018
-0.01,-0.02,0.021
-0.018,-0.002,0.01
-0.019,-0.015,0.043
-0.002,-0.007,-0.008
0.006,0,0.023
-0.012,-0.021,0.021
0.001,0.009,-0.001
0.011,0.012,0.004
0.003,-0.012,0.03
0,-0.001,0
0.004,-0.015,0.009
-0.019,-0.005,0.014
0.003,0,0.043
-0.024,0.009,-0.017
-0.008,-0.004,-0.004
-0.015,0.013,-0.012
-0.006,0.004,0.012
-0.008,-0.01,0.001
0.019,0.023,0.015
-0.001,0.011,-0.004
0.003,-0.005,0.004
